27 noviembre,Postgres como base de datos NoSQL,RUBÉN GÓMEZ GARCÍA,17:00-17:45
27 noviembre,Primeros pasos con Go,DANIEL GONZÁLEZ CERVIÑO,17:00-17:45
27 noviembre,Microservices and testing... talking from the experience,JAIRO GONZÁLEZ PÉREZ,17:00-17:45
27 noviembre,Clean Architecture for Android,JOSE MANUEL PEREIRA GARCIA,17:00-17:45
27 noviembre,Programación con Silex. Las cosas SI se pueden hacer bien con PHP,DANIEL PRIMO,17:00-17:45
27 noviembre,Desarrollo móvil con Xamarin y F#,"ALEX CASQUETE, QUIQUE MARTÍNEZ ALÉN",17:00-17:45
27 noviembre,Akka voló sobre el nido del Future,"JAVIER SANTOS PANIEGO, DAVID VALLEJO NAVARRO",17:00-17:45
27 noviembre,La herencia es la clase base de todos los problemas,JOSE DANIEL GARCIA SANCHEZ,17:00-17:45
27 noviembre,Blues,CHEMA ALONSO,18:00-18:45
27 noviembre,Kotlin for Android Developers,ANTONIO LEIVA GORDILLO,18:00-18:45
27 noviembre,He fracasado : Tengo mas de 30 y sigo programando,KATIA ARESTI,18:00-18:45
27 noviembre,Patrones de diseño con Java 8,ALONSO JAVIER TORRES ORTIZ,18:00-18:45
27 noviembre,Construyendo tu propia bola de cristal: predicción de precios con machine learning,RAFAEL BERMÚDEZ MÍGUEZ,18:00-18:45
27 noviembre,React Native - El poder de React en el desarrollo móvil,EDUARD TOMÀS,18:00-18:45
27 noviembre,La complejidad oculta de importar CSVs geoespaciales,RAFA DE LA TORRE,18:00-18:45
27 noviembre,At your service! Practical uses of Service Workers,SALVADOR DE LA PUENTE GONZÁLEZ,18:00-18:45
27 noviembre,Procesamiento en Tiempo Real con Meteor,"DAVID COLLADO, JORGE BARRACHINA, FRANCISCO CALLE MORENO, LUIS HERRANZ",18:00-18:45
27 noviembre,Recetas para visualización de datos en la web con CartoDB,JORGE ARÉVALO,18:00-18:45
27 noviembre,"Arquitectura y testing, el mantra del desarrollador Android feliz","PABLO GUARDIOLA, JOAQUIN ENGELMO MORICHE",18:00-18:45
27 noviembre,Primeros pasos con Akka: Olvídate de los threads,"JUAN JOSE LOPEZ MARTIN, MIGUEL ANGEL FERNANDEZ",18:00-18:45
28 noviembre,"Como mantener tu código PHP más ""limpio""",OSCAR VÍTORES,09:30-10:15
28 noviembre,La persistencia tiene un límite,"EMMA SESMERO, BLANCA HERNÁNDEZ",09:30-10:15
28 noviembre,"Functional Reactive Programming: FP, Javascript con extra de bacon.",JAVIER ONIELFA,09:30-10:15
28 noviembre,"Tendencias del sector IT en España: Sueldos, tecnologías y empleo",CODEMOTION MADRID,09:30-10:15
28 noviembre,Del infierno al cielo,RAUL REQUERO,09:30-10:15
28 noviembre,"Rust, el lenguaje que reemplazará a C y C++",ROBERTO PEREZ,09:30-10:15
28 noviembre,Unity3D + Kinect + Oculus + Leap = BoomShakalaka!!!,TONI RECIO SACRISTÀ,09:30-10:15
28 noviembre,Gestión masiva de datos en la era IoT,LUIS GUERRERO,09:30-10:15
28 noviembre,Android to wear,DANIEL ROJO PÉREZ,09:30-10:15
28 noviembre,Caminando de Java a Scala en menos de 2 horas,"SERGIO GÓMEZ, ABEL RINCÓN MATARRANZ",09:30-10:15
